Date,Clicks,Impressions,CTR,Position
2024-12-05,1,83,1.2%,8.1
2024-12-06,2,65,3.08%,8.2
2024-12-07,4,84,4.76%,7.4
2024-12-08,1,64,1.56%,11.9
2024-12-09,1,67,1.49%,9.6
2024-12-10,1,66,1.52%,11.4
2024-12-11,2,102,1.96%,8.4
2024-12-12,2,99,2.02%,7.4
2024-12-13,1,85,1.18%,10.4
2024-12-14,0,78,0%,11.5
2024-12-15,0,83,0%,8.9
2024-12-16,2,83,2.41%,7.9
2024-12-17,0,65,0%,10.1
2024-12-18,0,63,0%,10.2
2024-12-19,2,52,3.85%,11.3
2024-12-20,1,50,2%,10.4
2024-12-21,0,52,0%,9.3
2024-12-22,1,74,1.35%,9.8
2024-12-23,2,60,3.33%,10
2024-12-24,8,89,8.99%,7.3
2024-12-25,0,58,0%,7.9
2024-12-26,2,62,3.23%,12.1
2024-12-27,0,57,0%,11.2
2024-12-28,5,73,6.85%,9.4
2024-12-29,0,69,0%,10.3
2024-12-30,0,56,0%,15.6
2024-12-31,1,26,3.85%,9.6
2025-01-01,1,29,3.45%,7.6
2025-01-02,1,41,2.44%,12.6
2025-01-03,1,39,2.56%,15.3
2025-01-04,1,38,2.63%,10.6
2025-01-05,1,54,1.85%,7.8
2025-01-06,3,35,8.57%,8.8
2025-01-07,1,50,2%,11.5
2025-01-08,0,66,0%,14.4
2025-01-09,0,71,0%,10.3
2025-01-10,1,70,1.43%,11.3
2025-01-11,2,80,2.5%,11.4
2025-01-12,0,57,0%,10.6
2025-01-13,0,75,0%,8.9
2025-01-14,2,85,2.35%,8.3
2025-01-15,5,86,5.81%,8
2025-01-16,0,69,0%,8.3
2025-01-17,1,76,1.32%,11
2025-01-18,0,65,0%,9.9
2025-01-19,1,80,1.25%,10.3
2025-01-20,2,83,2.41%,10
2025-01-21,0,67,0%,7.9
2025-01-22,2,67,2.99%,8.9
2025-01-23,1,148,0.68%,8.2
2025-01-24,7,100,7%,11.1
2025-01-25,1,68,1.47%,7.5
2025-01-26,0,89,0%,10.3
2025-01-27,3,74,4.05%,8.6
